Cu_4.2Å "SHAP Value" Cu
1.27092928 -0.0019186835025902836 1.0
2.08951653 0.00030590272217523307 0.0
2.97176144 -0.0004624241276178509 1.0
4.99458527 0.00020151906064711512 1.0
1.80440495 0.0007521592162083834 0.0
1.44679786 -0.001925922310911119 0.0
1.09777483 -0.001925922310911119 0.0
1.59828609 -0.001925922310911119 0.0
4.76768532 0.0002703776897396892 1.0
2.07355908 0.00030590272217523307 0.0
1.21495479 -0.0012808256485732272 0.0
1.46803816 -0.001925922310911119 0.0
2.06686535 0.0003240234160330147 1.0
2.54318742 0.0003240234160330147 1.0
2.66003725 -0.0004456598381511867 1.0
2.10251014 0.0003240234160330147 1.0
1.7160669 0.0003240234160330147 1.0
3.48368873 0.00020151906064711512 1.0
0.08546634 0.005535053063067607 0.0
4.94354319 0.00020151906064711512 1.0
5.4223716 -0.0004624241276178509 1.0
1.16867424 -0.001925922310911119 0.0
2.09466085 0.00030590272217523307 0.0
3.70009898 0.0003240234160330147 1.0
2.95127912 0.0003240234160330147 1.0
3.28051361 0.0004805777268484235 1.0
1.99741963 0.0007521592162083834 0.0
1.9021429 0.0007521592162083834 0.0
1.31272033 -0.001925922310911119 0.0
3.46379596 0.0005238384852418676 0.0
2.91387175 0.0007521592162083834 0.0
3.16184462 0.00020151906064711512 1.0
3.1862121 0.0003240234160330147 1.0
2.18475068 0.0002703776897396892 1.0
1.05154028 -0.0012808256485732272 0.0
2.86569889 -0.0004624241276178509 1.0
2.66928289 0.0007521592162083834 0.0
1.50899126 -0.001235233584884554 0.0
4.73268271 -0.0004624241276178509 1.0
0.93771221 -0.0012808256485732272 0.0
1.63381811 0.00020151906064711512 1.0
0.88205275 -0.000264583311509341 1.0
3.22436295 0.0007521592162083834 0.0
2.76632857 0.0005419591790996492 0.0
3.11396301 0.0005238384852418676 0.0
4.26780383 0.00025516478694044054 1.0
1.23844176 -0.001925922310911119 0.0
3.85658846 0.0002703776897396892 1.0
1.56481005 -0.001925922310911119 0.0
2.02642693 -0.0004456598381511867 1.0
4.46022097 -0.0005160698539111763 1.0
3.42631996 0.0007521592162083834 0.0
4.64842074 0.0003240234160330147 1.0
2.0076731 0.0007521592162083834 0.0
1.48658913 -0.001925922310911119 0.0
1.90590933 0.0007521592162083834 0.0
3.40962723 0.0007521592162083834 0.0
1.2484699 -0.001925922310911119 0.0
1.78948052 0.00030590272217523307 0.0
2.36642799 0.00020151906064711512 1.0
4.21420622 0.0007521592162083834 1.0
1.50288837 -0.001925922310911119 0.0
